"Basic","Basic_solved","Hidden","Candidates","Xwing","Solved","Start_overs","Elapsed_time","Max_count","Difficulty_Level","Board"
11,43,0,0,0,81,0,0.4839906692504883,250,0,"[[0| 0| 0| 5| 3| 0| 0| 2| 6]| [0| 0| 8| 0| 0| 0| 3| 0| 0]| [0| 5| 0| 2| 9| 0| 0| 0| 7]| [0| 9| 6| 0| 7| 0| 2| 0| 0]| [0| 0| 0| 0| 0| 0| 1| 0| 0]| [5| 7| 0| 0| 1| 2| 0| 0| 0]| [0| 6| 0| 0| 2| 0| 0| 8| 0]| [2| 1| 5| 0| 0| 0| 7| 6| 9]| [8| 3| 7| 0| 0| 5| 4| 0| 0]]"
14,42,0,0,0,81,0,0.40552520751953125,250,0,"[[0| 0| 0| 8| 2| 0| 1| 9| 3]| [0| 0| 1| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 6| 0| 4| 0| 8| 0]| [5| 9| 0| 7| 0| 0| 3| 2| 0]| [3| 2| 7| 4| 0| 8| 0| 0| 0]| [6| 1| 8| 0| 3| 2| 5| 7| 0]| [9| 0| 5| 0| 0| 0| 0| 3| 1]| [0| 8| 0| 0| 0| 0| 0| 4| 0]| [0| 4| 0| 0| 0| 0| 6| 0| 0]]"
11,45,0,0,0,81,0,0.40494585037231445,250,0,"[[0| 1| 0| 0| 0| 2| 0| 3| 0]| [0| 3| 0| 8| 0| 0| 0| 4| 1]| [4| 0| 7| 0| 3| 0| 0| 0| 0]| [0| 4| 2| 6| 0| 0| 0| 0| 7]| [0| 0| 0| 0| 0| 0| 0| 6| 0]| [7| 5| 6| 4| 9| 8| 3| 0| 2]| [2| 0| 0| 0| 8| 4| 0| 0| 0]| [9| 8| 0| 0| 0| 0| 0| 0| 4]| [0| 0| 4| 3| 0| 0| 0| 7| 9]]"
12,49,0,0,0,81,0,0.375338077545166,250,0,"[[0| 0| 5| 0| 7| 0| 0| 0| 0]| [3| 4| 0| 0| 9| 0| 1| 0| 6]| [0| 0| 0| 0| 0| 8| 0| 4| 0]| [0| 7| 0| 8| 0| 0| 0| 0| 0]| [0| 0| 9| 0| 0| 0| 8| 3| 2]| [8| 0| 4| 2| 0| 0| 0| 9| 7]| [0| 0| 0| 9| 0| 0| 0| 6| 0]| [0| 6| 0| 4| 2| 0| 9| 0| 0]| [9| 0| 8| 0| 0| 1| 4| 7| 0]]"
11,46,0,0,0,81,0,0.4239215850830078,250,0,"[[0| 0| 0| 4| 0| 8| 0| 0| 0]| [7| 4| 0| 0| 0| 0| 0| 0| 9]| [0| 0| 1| 0| 0| 9| 0| 0| 0]| [1| 0| 0| 0| 3| 4| 2| 0| 8]| [6| 0| 0| 0| 0| 2| 1| 0| 0]| [0| 9| 0| 0| 0| 1| 7| 0| 6]| [3| 0| 0| 0| 0| 6| 5| 7| 2]| [0| 2| 7| 3| 0| 0| 0| 4| 0]| [5| 0| 0| 1| 0| 0| 0| 0| 3]]"
15,49,0,3,0,81,0,0.47373366355895996,250,0,"[[0| 9| 8| 5| 3| 0| 1| 2| 6]| [5| 0| 0| 0| 0| 6| 0| 0| 0]| [0| 6| 0| 1| 0| 2| 8| 0| 4]| [6| 3| 0| 0| 0| 0| 0| 4| 0]| [0| 7| 0| 0| 0| 0| 0| 0| 2]| [0| 0| 0| 3| 0| 1| 0| 0| 0]| [0| 5| 6| 0| 0| 8| 0| 1| 0]| [3| 0| 0| 6| 0| 0| 0| 9| 0]| [0| 4| 0| 0| 1| 0| 0| 6| 0]]"
18,43,0,0,0,81,0,0.3827071189880371,250,0,"[[0| 4| 8| 0| 0| 2| 0| 0| 3]| [0| 2| 5| 0| 3| 0| 6| 0| 0]| [0| 0| 0| 0| 5| 0| 0| 0| 2]| [0| 8| 0| 7| 0| 0| 3| 0| 5]| [2| 0| 7| 0| 1| 0| 0| 0| 0]| [0| 0| 4| 5| 0| 8| 1| 0| 7]| [8| 3| 0| 2| 4| 0| 0| 7| 0]| [0| 9| 6| 0| 7| 1| 2| 4| 0]| [0| 0| 2| 0| 0| 0| 0| 0| 0]]"
16,43,0,0,0,81,2,7.775893926620483,250,0,"[[0| 6| 1| 0| 0| 0| 2| 0| 0]| [0| 0| 2| 0| 4| 5| 0| 7| 0]| [7| 4| 0| 1| 0| 0| 0| 0| 0]| [6| 3| 0| 0| 0| 0| 0| 0| 4]| [0| 1| 7| 9| 0| 0| 0| 0| 0]| [0| 0| 4| 3| 0| 0| 0| 9| 0]| [1| 9| 0| 0| 0| 0| 7| 5| 2]| [0| 0| 6| 2| 1| 0| 4| 0| 9]| [4| 0| 3| 0| 7| 0| 0| 8| 1]]"
11,53,0,0,0,81,1,4.930567741394043,250,0,"[[0| 0| 0| 0| 1| 5| 0| 0| 4]| [3| 0| 6| 9| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 3]| [8| 4| 0| 0| 0| 2| 5| 0| 6]| [0| 0| 2| 0| 0| 9| 0| 8| 7]| [0| 7| 0| 4| 5| 0| 0| 0| 0]| [0| 0| 5| 2| 4| 0| 0| 0| 9]| [1| 0| 0| 0| 9| 0| 3| 0| 8]| [0| 0| 0| 0| 0| 0| 2| 0| 0]]"
13,49,0,0,0,81,0,0.4335308074951172,250,0,"[[0| 0| 0| 2| 0| 0| 0| 7| 3]| [0| 8| 4| 0| 1| 0| 0| 0| 0]| [7| 9| 2| 4| 0| 0| 6| 0| 0]| [0| 0| 0| 8| 0| 0| 9| 2| 0]| [2| 6| 0| 9| 0| 1| 0| 0| 0]| [9| 7| 0| 0| 0| 0| 0| 8| 0]| [0| 4| 0| 0| 0| 0| 8| 0| 1]| [0| 0| 0| 0| 6| 0| 0| 0| 5]| [5| 3| 0| 0| 4| 0| 0| 6| 0]]"
