"Basic","Basic_solved","Hidden","Candidates","Xwing","Solved","Start_overs","Elapsed_time","Max_count","Difficulty_Level","Board"
19,55,2,19,4,81,5,6.808875799179077,100,2,"[[0| 0| 0| 0| 6| 0| 8| 0| 0]| [0| 0| 0| 0| 0| 0| 6| 0| 4]| [0| 0| 0| 2| 0| 0| 0| 9| 0]| [0| 0| 4| 0| 0| 5| 0| 6| 0]| [6| 0| 5| 0| 0| 2| 0| 7| 9]| [9| 0| 1| 0| 3| 0| 4| 2| 0]| [0| 1| 0| 0| 5| 0| 0| 0| 0]| [3| 2| 0| 6| 8| 0| 5| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]]"
17,53,2,0,2,81,19,23.856943607330322,100,2,"[[0| 0| 0| 9| 5| 1| 0| 0| 0]| [6| 8| 0| 0| 0| 3| 0| 0| 0]| [0| 9| 0| 0| 0| 0| 4| 5| 0]| [1| 0| 0| 7| 0| 0| 8| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 7| 6]| [0| 0| 3| 0| 8| 5| 0| 0| 1]| [0| 0| 0| 2| 0| 0| 0| 0| 5]| [0| 0| 0| 1| 0| 0| 6| 4| 0]| [0| 0| 2| 0| 0| 6| 9| 0| 0]]"
20,56,0,18,5,81,10,13.665425777435303,100,2,"[[0| 0| 0| 1| 5| 0| 0| 0| 2]| [5| 0| 0| 0| 9| 6| 0| 7| 3]| [0| 0| 0| 0| 0| 0| 5| 0| 0]| [2| 0| 0| 3| 0| 0| 9| 1| 0]| [0| 0| 0| 0| 0| 0| 0| 2| 0]| [0| 4| 7| 0| 0| 0| 0| 5| 0]| [4| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 1| 0| 8| 0| 0| 0| 0| 0]| [6| 0| 2| 5| 0| 7| 0| 9| 0]]"
14,45,1,0,3,81,4,6.20585036277771,100,2,"[[0| 7| 0| 8| 0| 0| 2| 0| 3]| [2| 0| 0| 0| 0| 0| 0| 8| 0]| [0| 8| 1| 2| 3| 0| 6| 0| 7]| [3| 5| 0| 0| 8| 0| 9| 2| 0]| [1| 0| 0| 3| 0| 4| 8| 7| 0]| [8| 2| 0| 0| 0| 0| 0| 0| 4]| [0| 0| 0| 0| 0| 0| 7| 0| 2]| [0| 0| 0| 1| 5| 0| 0| 0| 0]| [9| 6| 2| 0| 7| 0| 0| 1| 0]]"
9,57,3,14,3,81,26,33.81813883781433,100,2,"[[6| 0| 0| 0| 4| 0| 0| 0| 0]| [0| 0| 0| 0| 1| 0| 2| 8| 0]| [0| 1| 2| 0| 0| 0| 4| 5| 0]| [0| 0| 5| 0| 0| 0| 7| 0| 0]| [0| 0| 0| 0| 0| 3| 0| 0| 0]| [0| 9| 0| 0| 0| 0| 0| 0| 4]| [7| 3| 0| 8| 0| 0| 0| 0| 0]| [0| 2| 1| 0| 0| 0| 0| 6| 0]| [0| 0| 4| 3| 0| 9| 0| 1| 0]]"
26,57,2,3,4,81,19,23.716602325439453,100,2,"[[1| 0| 0| 0| 2| 0| 0| 9| 0]| [0| 2| 0| 8| 0| 0| 0| 0| 0]| [0| 9| 7| 0| 0| 0| 6| 1| 0]| [0| 0| 0| 0| 0| 0| 2| 0| 6]| [0| 3| 0| 5| 8| 2| 0| 0| 0]| [0| 0| 0| 0| 7| 0| 0| 0| 0]| [2| 0| 1| 0| 0| 8| 0| 0| 0]| [4| 0| 0| 9| 1| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 5| 0| 0| 3]]"
17,56,1,2,6,81,6,8.782400131225586,100,2,"[[0| 0| 4| 5| 0| 0| 1| 0| 0]| [0| 3| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 9| 1| 2| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 6| 0| 3| 0| 1| 8| 0| 0]| [3| 1| 0| 2| 0| 0| 5| 4| 0]| [2| 0| 0| 0| 9| 0| 0| 8| 1]| [0| 0| 0| 8| 0| 0| 0| 7| 0]| [6| 5| 0| 0| 0| 0| 3| 0| 0]]"
9,53,0,3,2,81,4,5.338621139526367,100,2,"[[0| 0| 8| 0| 0| 0| 0| 4| 5]| [0| 0| 0| 3| 0| 5| 1| 0| 0]| [9| 0| 0| 4| 0| 0| 6| 7| 0]| [0| 2| 0| 6| 0| 0| 0| 0| 0]| [0| 7| 0| 0| 4| 0| 2| 5| 1]| [0| 0| 1| 0| 2| 0| 0| 0| 4]| [7| 1| 9| 0| 0| 0| 4| 0| 0]| [3| 0| 0| 0| 0| 0| 5| 0| 0]| [0| 0| 0| 0| 0| 8| 7| 0| 0]]"
14,50,1,1,2,81,16,19.68144679069519,100,2,"[[0| 0| 0| 9| 0| 7| 8| 4| 0]| [0| 0| 7| 1| 0| 0| 6| 0| 2]| [3| 1| 0| 0| 0| 0| 0| 0| 5]| [0| 0| 1| 6| 8| 0| 4| 0| 0]| [0| 0| 0| 0| 7| 3| 0| 0| 0]| [0| 0| 0| 4| 0| 0| 5| 0| 0]| [6| 0| 5| 0| 0| 0| 3| 0| 0]| [0| 7| 0| 3| 6| 2| 1| 0| 0]| [0| 0| 3| 7| 0| 0| 0| 6| 0]]"
11,56,14,1,0,81,117,145.11352348327637,100,2,"[[0| 5| 0| 0| 0| 0| 0| 0| 3]| [8| 0| 0| 6| 0| 2| 1| 0| 0]| [2| 0| 0| 0| 0| 0| 0| 5| 0]| [4| 0| 0| 0| 0| 6| 8| 3| 2]| [0| 0| 0| 0| 0| 8| 7| 0| 0]| [0| 0| 0| 9| 0| 0| 0| 0| 6]| [0| 0| 0| 3| 1| 0| 9| 0| 0]| [7| 0| 0| 0| 4| 0| 0| 0| 0]| [9| 2| 0| 0| 0| 0| 0| 0| 4]]"
